Nov 21 13:07:50 hmland node[4131420]: [13:07:50,242] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:07:52 hmland node[4131420]: [13:07:52,331] [INFO] [system] Ladung gestoppt
Nov 21 13:07:52 hmland node[4131420]: [13:07:52,422] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:08:30 hmland node[4131420]: [13:08:30,287] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1866.6000000000001W > 1500W für 35.852s
Nov 21 13:08:32 hmland node[4131420]: [13:08:32,404] [INFO] [system] Ladung gestartet mit 8A @ 1P (Strategie: surplus_battery_prio)
Nov 21 13:08:34 hmland node[4131420]: [13:08:34,458] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:08:35 hmland node[4131420]: [13:08:35,470] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
Nov 21 13:08:35 hmland node[4131420]: [13:08:35,548] [INFO] [system] [RECONCILE] Context sagt isActive=true, aber Wallbox lädt nicht (State=2, Power=0mW) → setze isActive=false
Nov 21 13:08:40 hmland node[4131420]: [13:08:40,298] [INFO] [system] [RECONCILE] Context sagt isActive=false, aber Wallbox lädt (State=3, Power=1660167mW) → setze isActive=true
Nov 21 13:08:40 hmland node[4131420]: [13:08:40,315] [INFO] [system] [surplus_battery_prio] Überschuss unter Schwellwert: 959W < 1000W - Stopp-Timer gestartet
Nov 21 13:08:40 hmland node[4131420]: [13:08:40,317] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:08:41 hmland node[4131420]: [13:08:41,349] [INFO] [system] Ladung gestoppt
Nov 21 13:08:41 hmland node[4131420]: [13:08:41,372] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:09:10 hmland node[4131420]: [13:09:10,303] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1862.1000000000001W > 1500W für 34.74s
Nov 21 13:09:12 hmland node[4131420]: [13:09:12,445] [INFO] [system] Ladung gestartet mit 8A @ 1P (Strategie: surplus_battery_prio)
Nov 21 13:09:14 hmland node[4131420]: [13:09:14,525] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:09:15 hmland node[4131420]: [13:09:15,537] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
Nov 21 13:09:20 hmland node[4131420]: [13:09:20,246] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:09:22 hmland node[4131420]: [13:09:22,345] [INFO] [system] Ladung gestoppt
Nov 21 13:09:22 hmland node[4131420]: [13:09:22,437] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:10:00 hmland node[4131420]: [13:10:00,308] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1858.5W > 1500W für 35.859s
Nov 21 13:10:02 hmland node[4131420]: [13:10:02,413] [INFO] [system] Ladung gestartet mit 8A @ 1P (Strategie: surplus_battery_prio)
Nov 21 13:10:04 hmland node[4131420]: [13:10:04,493] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:10:05 hmland node[4131420]: [13:10:05,405] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
